date,state,parlimen,dun,income_median,income_mean
2019-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,4417,4662
2022-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,4206,4673
2024-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,4983,5404
2019-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,4066,4696
2022-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,4548,5347
2024-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,6232,5818
2019-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,4016,4681
2022-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,4324,4823
2024-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,4725,5269
2019-01-01,Perlis,P.001 Padang Besar,N.04 Mata Ayer,4621,5352
2022-01-01,Perlis,P.001 Padang Besar,N.04 Mata Ayer,4744,5460
2024-01-01,Perlis,P.001 Padang Besar,N.04 Mata Ayer,4342,6356
2019-01-01,Perlis,P.001 Padang Besar,N.05 Santan,4043,4801
2022-01-01,Perlis,P.001 Padang Besar,N.05 Santan,4373,5035
2024-01-01,Perlis,P.001 Padang Besar,N.05 Santan,4801,6424
2019-01-01,Perlis,P.002 Kangar,N.06 Bintong,4547,5711
2022-01-01,Perlis,P.002 Kangar,N.06 Bintong,5170,6093
2024-01-01,Perlis,P.002 Kangar,N.06 Bintong,4926,5567
2019-01-01,Perlis,P.002 Kangar,N.07 Sena,4920,6598
2022-01-01,Perlis,P.002 Kangar,N.07 Sena,5456,6780
2024-01-01,Perlis,P.002 Kangar,N.07 Sena,5868,7232
2019-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,5021,6042
2022-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,5808,7801
2024-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,5342,6856
2019-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,4062,5129
2022-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,4559,4991
2024-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,4564,5149
2019-01-01,Perlis,P.002 Kangar,N.10 Kayang,6313,6357
2022-01-01,Perlis,P.002 Kangar,N.10 Kayang,4455,5442
2024-01-01,Perlis,P.002 Kangar,N.10 Kayang,5363,6369
2019-01-01,Perlis,P.003 Arau,N.11 Pauh,4854,5805
2022-01-01,Perlis,P.003 Arau,N.11 Pauh,5040,6483
2024-01-01,Perlis,P.003 Arau,N.11 Pauh,5424,6518
2019-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,4967,5670
2022-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,5384,6309
2024-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,6483,7072
2019-01-01,Perlis,P.003 Arau,N.13 Guar Sanji,4082,4905
2022-01-01,Perlis,P.003 Arau,N.13 Guar Sanji,4573,5064
2024-01-01,Perlis,P.003 Arau,N.13 Guar Sanji,4809,5494
2019-01-01,Perlis,P.003 Arau,N.14 Simpang Empat,3833,4450
2022-01-01,Perlis,P.003 Arau,N.14 Simpang Empat,4140,4653
2024-01-01,Perlis,P.003 Arau,N.14 Simpang Empat,3438,4398
2019-01-01,Perlis,P.003 Arau,N.15 Sanglang,4195,4943
2022-01-01,Perlis,P.003 Arau,N.15 Sanglang,4247,5102
2024-01-01,Perlis,P.003 Arau,N.15 Sanglang,4188,4810
2019-01-01,Kedah,P.004 Langkawi,N.01 Ayer Hangat,5743,6131
2022-01-01,Kedah,P.004 Langkawi,N.01 Ayer Hangat,4968,5640
2024-01-01,Kedah,P.004 Langkawi,N.01 Ayer Hangat,5016,5899
2019-01-01,Kedah,P.004 Langkawi,N.02 Kuah,6602,7193
2022-01-01,Kedah,P.004 Langkawi,N.02 Kuah,5483,6482
2024-01-01,Kedah,P.004 Langkawi,N.02 Kuah,5169,6600
2019-01-01,Kedah,P.005 Jerlun,N.03 Kota Siputeh,3961,4996
2022-01-01,Kedah,P.005 Jerlun,N.03 Kota Siputeh,4502,5157
2024-01-01,Kedah,P.005 Jerlun,N.03 Kota Siputeh,5025,5813
2019-01-01,Kedah,P.005 Jerlun,N.04 Ayer Hitam,4276,4848
2022-01-01,Kedah,P.005 Jerlun,N.04 Ayer Hitam,4414,4978
2024-01-01,Kedah,P.005 Jerlun,N.04 Ayer Hitam,4704,5294
2019-01-01,Kedah,P.006 Kubang Pasu,N.05 Bukit Kayu Hitam,4511,5710
2022-01-01,Kedah,P.006 Kubang Pasu,N.05 Bukit Kayu Hitam,4703,5691
2024-01-01,Kedah,P.006 Kubang Pasu,N.05 Bukit Kayu Hitam,4771,6117
2019-01-01,Kedah,P.006 Kubang Pasu,N.06 Jitra,5468,7300
2022-01-01,Kedah,P.006 Kubang Pasu,N.06 Jitra,5761,7076
2024-01-01,Kedah,P.006 Kubang Pasu,N.06 Jitra,6067,6958
2019-01-01,Kedah,P.007 Padang Terap,N.07 Kuala Nerang,4017,5255
2022-01-01,Kedah,P.007 Padang Terap,N.07 Kuala Nerang,3969,5215
2024-01-01,Kedah,P.007 Padang Terap,N.07 Kuala Nerang,4126,5389
2019-01-01,Kedah,P.007 Padang Terap,N.08 Pedu,3501,4222
2022-01-01,Kedah,P.007 Padang Terap,N.08 Pedu,3489,4275
2024-01-01,Kedah,P.007 Padang Terap,N.08 Pedu,3881,4631
2019-01-01,Kedah,P.008 Pokok Sena,N.09 Bukit Lada,4236,5004
2022-01-01,Kedah,P.008 Pokok Sena,N.09 Bukit Lada,4583,5378
2024-01-01,Kedah,P.008 Pokok Sena,N.09 Bukit Lada,5209,5780
2019-01-01,Kedah,P.008 Pokok Sena,N.10 Bukit Pinang,4884,5945
2022-01-01,Kedah,P.008 Pokok Sena,N.10 Bukit Pinang,4752,5860
2024-01-01,Kedah,P.008 Pokok Sena,N.10 Bukit Pinang,5840,7151
2019-01-01,Kedah,P.008 Pokok Sena,N.11 Derga,4420,5704
2022-01-01,Kedah,P.008 Pokok Sena,N.11 Derga,5030,6998
2024-01-01,Kedah,P.008 Pokok Sena,N.11 Derga,5049,5976
2019-01-01,Kedah,P.009 Alor Setar,N.12 Suka Menanti,4494,5531
2022-01-01,Kedah,P.009 Alor Setar,N.12 Suka Menanti,4600,5323
2024-01-01,Kedah,P.009 Alor Setar,N.12 Suka Menanti,4988,5799
2019-01-01,Kedah,P.009 Alor Setar,N.13 Kota Darul Aman,5773,4532
2022-01-01,Kedah,P.009 Alor Setar,N.13 Kota Darul Aman,4030,7229
2024-01-01,Kedah,P.009 Alor Setar,N.13 Kota Darul Aman,3583,4279
2019-01-01,Kedah,P.009 Alor Setar,N.14 Alor Mengkudu,4899,5830
2022-01-01,Kedah,P.009 Alor Setar,N.14 Alor Mengkudu,5157,5594
2024-01-01,Kedah,P.009 Alor Setar,N.14 Alor Mengkudu,5010,5801
2019-01-01,Kedah,P.010 Kuala Kedah,N.15 Anak Bukit,4419,6486
2022-01-01,Kedah,P.010 Kuala Kedah,N.15 Anak Bukit,4640,6125
2024-01-01,Kedah,P.010 Kuala Kedah,N.15 Anak Bukit,5537,6638
2019-01-01,Kedah,P.010 Kuala Kedah,N.16 Kubang Rotan,4096,5128
2022-01-01,Kedah,P.010 Kuala Kedah,N.16 Kubang Rotan,4754,5955
2024-01-01,Kedah,P.010 Kuala Kedah,N.16 Kubang Rotan,4807,5648
2019-01-01,Kedah,P.010 Kuala Kedah,N.17 Pengkalan Kundor,4805,6163
2022-01-01,Kedah,P.010 Kuala Kedah,N.17 Pengkalan Kundor,4592,5682
2024-01-01,Kedah,P.010 Kuala Kedah,N.17 Pengkalan Kundor,5221,5972
2019-01-01,Kedah,P.011 Pendang,N.18 Tokai,4277,5200
2022-01-01,Kedah,P.011 Pendang,N.18 Tokai,4313,5850
2024-01-01,Kedah,P.011 Pendang,N.18 Tokai,4935,6023
2019-01-01,Kedah,P.011 Pendang,N.19 Sungai Tiang,3235,4051
2022-01-01,Kedah,P.011 Pendang,N.19 Sungai Tiang,3710,4388
2024-01-01,Kedah,P.011 Pendang,N.19 Sungai Tiang,3768,4819
