date,state,parlimen,income_median,income_mean
2019-01-01,Perlis,P.001 Padang Besar,4075,4747
2022-01-01,Perlis,P.001 Padang Besar,4389,4984
2024-01-01,Perlis,P.001 Padang Besar,4818,5792
2019-01-01,Perlis,P.002 Kangar,4889,5899
2022-01-01,Perlis,P.002 Kangar,4998,6167
2024-01-01,Perlis,P.002 Kangar,5093,6216
2019-01-01,Perlis,P.003 Arau,4594,5411
2022-01-01,Perlis,P.003 Arau,4802,5723
2024-01-01,Perlis,P.003 Arau,4910,5900
2019-01-01,Kedah,P.004 Langkawi,5905,6737
2022-01-01,Kedah,P.004 Langkawi,5250,6087
2024-01-01,Kedah,P.004 Langkawi,5083,6278
2019-01-01,Kedah,P.005 Jerlun,4106,4919
2022-01-01,Kedah,P.005 Jerlun,4463,5072
2024-01-01,Kedah,P.005 Jerlun,4721,5534
2019-01-01,Kedah,P.006 Kubang Pasu,5060,6673
2022-01-01,Kedah,P.006 Kubang Pasu,5408,6644
2024-01-01,Kedah,P.006 Kubang Pasu,5429,6656
2019-01-01,Kedah,P.007 Padang Terap,3722,4781
2022-01-01,Kedah,P.007 Padang Terap,3902,4858
2024-01-01,Kedah,P.007 Padang Terap,3954,5062
2019-01-01,Kedah,P.008 Pokok Sena,4443,5522
2022-01-01,Kedah,P.008 Pokok Sena,4752,6073
2024-01-01,Kedah,P.008 Pokok Sena,5271,6258
2019-01-01,Kedah,P.009 Alor Setar,4543,5540
2022-01-01,Kedah,P.009 Alor Setar,4702,5763
2024-01-01,Kedah,P.009 Alor Setar,4681,5588
2019-01-01,Kedah,P.010 Kuala Kedah,4405,5912
2022-01-01,Kedah,P.010 Kuala Kedah,4730,5878
2024-01-01,Kedah,P.010 Kuala Kedah,5311,6074
2019-01-01,Kedah,P.011 Pendang,3765,4680
2022-01-01,Kedah,P.011 Pendang,3801,4986
2024-01-01,Kedah,P.011 Pendang,4592,5464
2019-01-01,Kedah,P.012 Jerai,3313,4404
2022-01-01,Kedah,P.012 Jerai,3605,4365
2024-01-01,Kedah,P.012 Jerai,4802,5474
2019-01-01,Kedah,P.013 Sik,4096,4960
2022-01-01,Kedah,P.013 Sik,3703,5053
2024-01-01,Kedah,P.013 Sik,4438,5107
2019-01-01,Kedah,P.014 Merbok,4350,5967
2022-01-01,Kedah,P.014 Merbok,4483,6576
2024-01-01,Kedah,P.014 Merbok,4843,5996
2019-01-01,Kedah,P.015 Sungai Petani,4373,5745
2022-01-01,Kedah,P.015 Sungai Petani,4268,5260
2024-01-01,Kedah,P.015 Sungai Petani,4995,5544
2019-01-01,Kedah,P.016 Baling,3583,4313
2022-01-01,Kedah,P.016 Baling,3400,4263
2024-01-01,Kedah,P.016 Baling,3367,4345
2019-01-01,Kedah,P.017 Padang Serai,4419,5293
2022-01-01,Kedah,P.017 Padang Serai,4789,5894
2024-01-01,Kedah,P.017 Padang Serai,5414,6638
2019-01-01,Kedah,P.018 Kulim-Bandar Baharu,4558,5671
2022-01-01,Kedah,P.018 Kulim-Bandar Baharu,3983,4867
2024-01-01,Kedah,P.018 Kulim-Bandar Baharu,4465,5372
2019-01-01,Kelantan,P.019 Tumpat,3500,4838
2022-01-01,Kelantan,P.019 Tumpat,3749,4741
2024-01-01,Kelantan,P.019 Tumpat,3904,4991
2019-01-01,Kelantan,P.020 Pengkalan Chepa,4182,5353
2022-01-01,Kelantan,P.020 Pengkalan Chepa,4416,5672
2024-01-01,Kelantan,P.020 Pengkalan Chepa,4868,6260
2019-01-01,Kelantan,P.021 Kota Bharu,4122,5201
2022-01-01,Kelantan,P.021 Kota Bharu,4287,5323
2024-01-01,Kelantan,P.021 Kota Bharu,4858,6363
2019-01-01,Kelantan,P.022 Pasir Mas,3951,5617
2022-01-01,Kelantan,P.022 Pasir Mas,3525,4644
2024-01-01,Kelantan,P.022 Pasir Mas,4016,5445
2019-01-01,Kelantan,P.023 Rantau Panjang,3001,3864
2022-01-01,Kelantan,P.023 Rantau Panjang,4567,4567
2024-01-01,Kelantan,P.023 Rantau Panjang,3476,4537
2019-01-01,Kelantan,P.024 Kubang Kerian,4415,6219
2022-01-01,Kelantan,P.024 Kubang Kerian,4813,6620
2024-01-01,Kelantan,P.024 Kubang Kerian,4750,6231
2019-01-01,Kelantan,P.025 Bachok,3621,4728
2022-01-01,Kelantan,P.025 Bachok,3625,4811
2024-01-01,Kelantan,P.025 Bachok,4187,5149
2019-01-01,Kelantan,P.026 Ketereh,4028,5618
2022-01-01,Kelantan,P.026 Ketereh,3913,5239
2024-01-01,Kelantan,P.026 Ketereh,4516,5776
2019-01-01,Kelantan,P.027 Tanah Merah,3311,4487
2022-01-01,Kelantan,P.027 Tanah Merah,3036,4246
2024-01-01,Kelantan,P.027 Tanah Merah,3665,4959
2019-01-01,Kelantan,P.028 Pasir Puteh,3458,4688
2022-01-01,Kelantan,P.028 Pasir Puteh,3453,4712
2024-01-01,Kelantan,P.028 Pasir Puteh,4853,5070
2019-01-01,Kelantan,P.029 Machang,3708,4841
